الترتيب,الرمز,الاسم,القطاع,السعر,التغير_20يوم_%,RSI14,الدرجة,التصنيف,تجميع_ذكي,سيولة_ذكية,تشبع_بيع_وارتداد,اختراق_فني,بنية_الاتجاه,عقوبة_تصريف,أسباب_الاختيار
52,2130,صدق,السلع طويلة الأجل,17.29,3.8,66.1,36.2,⚠️ تصريف/توزيع,0.0,16.2,0.0,25.0,10.0,15.0,💧 حجم أيام الصعود أعلى من النزول بنسبة 1.4x خلال 10 جلسات | 🔊 تسارع نشاط التداول: متوسط 5 أيام أعلى من متوسط 20 يوماً بـ2.0x | 🚀 اختراق فني: إغلاق فوق أعلى قمة لـ20 جلسة بحجم 7.4x المتوسط | 📊 تقاطع MACD صعودي حديث (زخم إيجابي متجدد) | 📐 ترتيب صاعد للمتوسطات: السعر > متوسط 50 > متوسط 100 يوم | ⚠️ تحذير تصريف: تدفق نقدي سلبي (CMF≈-0.26) رغم ارتفاع السعر مؤخراً
53,4335,مشاركة ريت,الصناديق العقارية المتداولة,3.5,0.3,50.5,36.0,👀 متابعة,14.0,12.0,0.0,10.0,0.0,0.0,📦 تدفق نقدي إيجابي مستمر (CMF≈+0.18) يدل على تجميع | 💧 حجم أيام الصعود أعلى من النزول بنسبة 2.1x خلال 10 جلسات | 👀 السهم يقترب من اختراق قمة 20 جلسة
54,2360,الفخارية,المواد الأساسية,19.94,16.5,54.6,36.0,👀 متابعة,15.6,10.4,0.0,0.0,10.0,0.0,📈 مؤشر OBV في صعود مستمر خلال 20 جلسة | 💧 حجم أيام الصعود أعلى من النزول بنسبة 1.5x خلال 10 جلسات | 📐 ترتيب صاعد للمتوسطات: السعر > متوسط 50 > متوسط 100 يوم
55,2140,أيان,الرعاية الصحية,9.64,5.1,50.0,35.8,📦 تجميع هادئ,18.8,12.0,0.0,5.0,0.0,0.0,📈 مؤشر OBV في صعود مستمر خلال 20 جلسة | 💧 حجم أيام الصعود أعلى من النزول بنسبة 3.0x خلال 10 جلسات
56,7020,اتحاد اتصالات,الاتصالات,65.45,4.6,56.3,35.3,👀 متابعة,17.2,13.2,0.0,0.0,5.0,0.0,📈 مؤشر OBV في صعود مستمر خلال 20 جلسة | 💧 حجم أيام الصعود أعلى من النزول بنسبة 1.8x خلال 10 جلسات | 📐 السعر أعلى من المتوسط المتحرك 50 يوم
57,4150,التعمير,إدارة وتطوير العقارات,15.73,-0.4,38.6,35.3,📦 تجميع هادئ,19.2,10.1,1.0,5.0,0.0,0.0,📈 مؤشر OBV في صعود مستمر خلال 20 جلسة مع تماسك سعري هادئ (تجميع بصمت) | 💧 حجم أيام الصعود أعلى من النزول بنسبة 1.6x خلال 10 جلسات
58,4003,إكسترا,تجزئة السلع الكمالية,69.15,0.9,60.6,35.1,⚠️ تصريف/توزيع,15.0,12.0,5.0,10.0,5.0,11.9,📈 مؤشر OBV في صعود مستمر خلال 20 جلسة مع تماسك سعري هادئ (تجميع بصمت) | 💧 حجم أيام الصعود أعلى من النزول بنسبة 2.9x خلال 10 جلسات | 🕯️ شمعة انعكاسية صعودية (ذيل سفلي طويل + إغلاق قوي) خلال آخر 3 جلسات | 👀 السهم يقترب من اختراق قمة 20 جلسة | 📐 السعر أعلى من المتوسط المتحرك 50 يوم | ⚠️ تحذير تصريف: تدفق نقدي سلبي (CMF≈-0.15) رغم ارتفاع السعر مؤخراً
59,3091,أسمنت الجوف,المواد الأساسية,4.95,0.2,50.9,35.0,👀 متابعة,17.4,17.6,0.0,0.0,0.0,0.0,📦 تدفق نقدي إيجابي مستمر (CMF≈+0.29) يدل على تجميع | 💧 حجم أيام الصعود أعلى من النزول بنسبة 2.5x خلال 10 جلسات | 🔊 تسارع نشاط التداول: متوسط 5 أيام أعلى من متوسط 20 يوماً بـ1.5x
60,4331,الجزيرة ريت,الصناديق العقارية المتداولة,11.28,-0.4,48.2,34.9,👀 متابعة,15.0,14.9,0.0,5.0,0.0,0.0,📈 مؤشر OBV في صعود مستمر خلال 20 جلسة مع تماسك سعري هادئ (تجميع بصمت) | 💧 حجم أيام الصعود أعلى من النزول بنسبة 1.4x خلال 10 جلسات | 🔊 تسارع نشاط التداول: متوسط 5 أيام أعلى من متوسط 20 يوماً بـ1.6x
61,2030,المصافي,الطاقة,56.3,17.5,75.9,33.9,⚠️ تصريف/توزيع,6.4,20.0,0.0,12.5,10.0,15.0,📈 مؤشر OBV في صعود مستمر خلال 20 جلسة | 💧 حجم أيام الصعود أعلى من النزول بنسبة 7.1x خلال 10 جلسات | 🔊 تسارع نشاط التداول: متوسط 5 أيام أعلى من متوسط 20 يوماً بـ2.1x | 🚀 اختراق فني: إغلاق فوق أعلى قمة لـ20 جلسة بحجم 1.1x المتوسط | 📐 ترتيب صاعد للمتوسطات: السعر > متوسط 50 > متوسط 100 يوم | ⚠️ تحذير تصريف: تدفق نقدي سلبي (CMF≈-0.20) رغم ارتفاع السعر مؤخراً
62,4165,الماجد,المنتجات المنزلية والشخصية,125.0,5.5,54.5,33.9,👀 متابعة,6.5,12.5,5.0,5.0,5.0,0.0,💧 حجم أيام الصعود أعلى من النزول بنسبة 2.0x خلال 10 جلسات | 🕯️ شمعة انعكاسية صعودية (ذيل سفلي طويل + إغلاق قوي) خلال آخر 3 جلسات | 📐 السعر أعلى من المتوسط المتحرك 50 يوم
63,2286,المطاحن الرابعة,إنتاج الأغذية,4.0,-0.2,45.8,33.3,👀 متابعة,15.1,8.2,5.0,5.0,0.0,0.0,📦 تدفق نقدي إيجابي مستمر (CMF≈+0.31) يدل على تجميع | 🕯️ شمعة انعكاسية صعودية (ذيل سفلي طويل + إغلاق قوي) خلال آخر 3 جلسات
64,2270,سدافكو,إنتاج الأغذية,204.2,0.2,47.6,33.3,👀 متابعة,16.9,11.3,0.0,5.0,0.0,0.0,📈 مؤشر OBV في صعود مستمر خلال 20 جلسة مع تماسك سعري هادئ (تجميع بصمت) | 💧 حجم أيام الصعود أعلى من النزول بنسبة 1.7x خلال 10 جلسات
65,2230,الكيميائية,الرعاية الصحية,8.26,3.3,60.4,33.2,⚠️ تصريف/توزيع,3.2,20.0,0.0,20.0,5.0,15.0,💧 حجم أيام الصعود أعلى من النزول بنسبة 4.9x خلال 10 جلسات | 🔊 تسارع نشاط التداول: متوسط 5 أيام أعلى من متوسط 20 يوماً بـ2.0x | 🚀 اختراق فني: إغلاق فوق أعلى قمة لـ20 جلسة بحجم 2.2x المتوسط | 📐 السعر أعلى من المتوسط المتحرك 50 يوم | ⚠️ تحذير تصريف: تدفق نقدي سلبي (CMF≈-0.22) رغم ارتفاع السعر مؤخراً
66,3090,أسمنت تبوك,المواد الأساسية,7.46,0.4,56.1,33.1,👀 متابعة,10.2,12.8,0.0,10.0,0.0,0.0,📈 مؤشر OBV في صعود مستمر خلال 20 جلسة مع تماسك سعري هادئ (تجميع بصمت) | 💧 حجم أيام الصعود أعلى من النزول بنسبة 2.2x خلال 10 جلسات | 👀 السهم يقترب من اختراق قمة 20 جلسة
67,4050,ساسكو,تجزئة السلع الكمالية,45.6,19.6,69.9,32.6,👀 متابعة,8.4,7.3,5.0,12.0,5.0,5.1,📈 مؤشر OBV في صعود مستمر خلال 20 جلسة | 💧 حجم أيام الصعود أعلى من النزول بنسبة 1.3x خلال 10 جلسات | 🕯️ شمعة انعكاسية صعودية (ذيل سفلي طويل + إغلاق قوي) خلال آخر 3 جلسات | 🚀 اختراق فني: إغلاق فوق أعلى قمة لـ20 جلسة بحجم 0.8x المتوسط | 📐 السعر أعلى من المتوسط المتحرك 50 يوم | ⚠️ تحذير تصريف: تدفق نقدي سلبي (CMF≈-0.05) رغم ارتفاع السعر مؤخراً
68,6002,هرفي للأغذية,الخدمات الاستهلاكية,15.47,3.5,51.9,32.6,👀 متابعة,11.4,11.2,5.0,0.0,5.0,0.0,📈 مؤشر OBV في صعود مستمر خلال 20 جلسة مع تماسك سعري هادئ (تجميع بصمت) | 💧 حجم أيام الصعود أعلى من النزول بنسبة 1.7x خلال 10 جلسات | 🕯️ شمعة انعكاسية صعودية (ذيل سفلي طويل + إغلاق قوي) خلال آخر 3 جلسات | 📐 السعر أعلى من المتوسط المتحرك 50 يوم
69,1302,بوان,السلع الرأسمالية,38.0,11.8,60.7,32.3,👀 متابعة,12.6,4.6,5.0,5.0,5.0,0.0,📦 تدفق نقدي إيجابي مستمر (CMF≈+0.06) يدل على تجميع | 📈 مؤشر OBV في صعود مستمر خلال 20 جلسة | 🕯️ شمعة انعكاسية صعودية (ذيل سفلي طويل + إغلاق قوي) خلال آخر 3 جلسات | 📐 السعر أعلى من المتوسط المتحرك 50 يوم
70,4019,اس ام سي للرعاية الصحية,الرعاية الصحية,16.22,4.5,53.2,31.6,📦 تجميع هادئ,18.9,2.1,5.0,5.0,5.0,4.4,📦 تدفق نقدي إيجابي مستمر (CMF≈+0.23) يدل على تجميع | 📈 مؤشر OBV في صعود مستمر خلال 20 جلسة | 🕯️ شمعة انعكاسية صعودية (ذيل سفلي طويل + إغلاق قوي) خلال آخر 3 جلسات | 📐 السعر أعلى من المتوسط المتحرك 50 يوم | ⚠️ هيمنة حجم أيام النزول على الصعود (نسبة 0.5x) - ضغط بيعي
71,6090,جازادكو,إنتاج الأغذية,8.2,3.8,49.4,30.9,👀 متابعة,13.9,7.0,0.0,10.0,0.0,0.0,📈 مؤشر OBV في صعود مستمر خلال 20 جلسة مع تماسك سعري هادئ (تجميع بصمت) | 📊 تقاطع MACD صعودي حديث (زخم إيجابي متجدد)
72,1214,شاكر,السلع الرأسمالية,12.03,-0.4,44.0,30.8,👀 متابعة,16.0,9.6,0.2,5.0,0.0,0.0,📈 مؤشر OBV في صعود مستمر خلال 20 جلسة مع تماسك سعري هادئ (تجميع بصمت) | 💧 حجم أيام الصعود أعلى من النزول بنسبة 1.6x خلال 10 جلسات
73,1303,الصناعات الكهربائية,السلع الرأسمالية,15.6,2.1,57.1,30.7,👀 متابعة,6.5,14.2,0.0,5.0,5.0,0.0,💧 حجم أيام الصعود أعلى من النزول بنسبة 2.1x خلال 10 جلسات | 📐 السعر أعلى من المتوسط المتحرك 50 يوم
74,1834,سماسكو,الخدمات التجارية والمهنية,5.67,-2.1,35.7,30.2,👀 متابعة,11.7,12.0,6.5,0.0,0.0,0.0,📦 تدفق نقدي إيجابي مستمر (CMF≈+0.06) يدل على تجميع | 💧 حجم أيام الصعود أعلى من النزول بنسبة 2.1x خلال 10 جلسات | 🕯️ شمعة انعكاسية صعودية (ذيل سفلي طويل + إغلاق قوي) خلال آخر 3 جلسات
75,1301,أسلاك,المواد الأساسية,18.14,1.3,51.2,29.9,👀 متابعة,9.4,10.5,0.0,0.0,10.0,0.0,📈 مؤشر OBV في صعود مستمر خلال 20 جلسة مع تماسك سعري هادئ (تجميع بصمت) | 💧 حجم أيام الصعود أعلى من النزول بنسبة 1.6x خلال 10 جلسات | 📐 ترتيب صاعد للمتوسطات: السعر > متوسط 50 > متوسط 100 يوم
76,4031,الخدمات الأرضية,النقل,23.99,-7.7,19.9,29.6,👀 متابعة,26.3,3.4,4.0,0.0,0.0,4.1,📦 تدفق نقدي إيجابي مستمر (CMF≈+0.15) يدل على تجميع | 📈 مؤشر OBV في صعود مستمر خلال 20 جلسة | 🔊 تسارع نشاط التداول: متوسط 5 أيام أعلى من متوسط 20 يوماً بـ1.2x | ⏳ تشبع بيع واضح: RSI عند 20 (بانتظار تأكيد الارتداد) | ⚠️ هيمنة حجم أيام النزول على الصعود (نسبة 0.5x) - ضغط بيعي
77,2150,زجاج,المواد الأساسية,37.18,1.4,45.7,28.6,👀 متابعة,17.2,1.4,5.0,0.0,5.0,0.0,📦 تدفق نقدي إيجابي مستمر (CMF≈+0.23) يدل على تجميع | 🕯️ شمعة انعكاسية صعودية (ذيل سفلي طويل + إغلاق قوي) خلال آخر 3 جلسات | 📐 السعر أعلى من المتوسط المتحرك 50 يوم
78,4040,سابتكو,النقل,11.89,-0.3,54.9,28.3,⚠️ تصريف/توزيع,4.0,12.8,5.0,5.0,10.0,8.6,📈 مؤشر OBV في صعود مستمر خلال 20 جلسة مع تماسك سعري هادئ (تجميع بصمت) | 💧 حجم أيام الصعود أعلى من النزول بنسبة 3.2x خلال 10 جلسات | 🕯️ شمعة انعكاسية صعودية (ذيل سفلي طويل + إغلاق قوي) خلال آخر 3 جلسات | 📐 ترتيب صاعد للمتوسطات: السعر > متوسط 50 > متوسط 100 يوم | ⚠️ تحذير تصريف: تدفق نقدي سلبي (CMF≈-0.10) رغم ارتفاع السعر مؤخراً
79,4346,ميفك ريت,الصناديق العقارية المتداولة,3.28,-0.6,40.0,27.2,👀 متابعة,15.0,6.4,5.8,0.0,0.0,0.0,📦 تدفق نقدي إيجابي مستمر (CMF≈+0.42) يدل على تجميع | 🔊 تسارع نشاط التداول: متوسط 5 أيام أعلى من متوسط 20 يوماً بـ1.4x | 🕯️ شمعة انعكاسية صعودية (ذيل سفلي طويل + إغلاق قوي) خلال آخر 3 جلسات
80,3050,أسمنت الجنوب,المواد الأساسية,19.68,6.1,60.0,27.0,👀 متابعة,13.3,4.5,0.0,10.0,5.0,5.8,📦 تدفق نقدي إيجابي مستمر (CMF≈+0.16) يدل على تجميع | 🔊 تسارع نشاط التداول: متوسط 5 أيام أعلى من متوسط 20 يوماً بـ1.4x | 👀 السهم يقترب من اختراق قمة 20 جلسة | 📐 السعر أعلى من المتوسط المتحرك 50 يوم | ⚠️ هيمنة حجم أيام النزول على الصعود (نسبة 0.5x) - ضغط بيعي
81,6015,أمريكانا للمطاعم,الخدمات الاستهلاكية,2.47,5.6,63.3,26.5,👀 متابعة,5.6,10.9,0.0,0.0,10.0,0.0,💧 حجم أيام الصعود أعلى من النزول بنسبة 1.7x خلال 10 جلسات | 📐 ترتيب صاعد للمتوسطات: السعر > متوسط 50 > متوسط 100 يوم
82,4230,البحر الأحمر,إدارة وتطوير العقارات,22.92,-0.5,40.6,25.0,📦 تجميع هادئ,21.5,2.8,0.7,0.0,0.0,0.0,📈 مؤشر OBV في صعود مستمر خلال 20 جلسة مع تماسك سعري هادئ (تجميع بصمت)
83,2250,المجموعة السعودية,المواد الأساسية,12.33,-0.3,44.8,24.6,👀 متابعة,8.7,5.8,5.1,5.0,0.0,0.0,📈 مؤشر OBV في صعود مستمر خلال 20 جلسة مع تماسك سعري هادئ (تجميع بصمت) | 🕯️ شمعة انعكاسية صعودية (ذيل سفلي طويل + إغلاق قوي) خلال آخر 3 جلسات
84,4250,جبل عمر,إدارة وتطوير العقارات,17.8,1.8,48.8,24.2,⚠️ تصريف/توزيع,15.4,0.0,5.0,0.0,10.0,6.2,📦 تدفق نقدي إيجابي مستمر (CMF≈+0.17) يدل على تجميع | 🕯️ شمعة انعكاسية صعودية (ذيل سفلي طويل + إغلاق قوي) خلال آخر 3 جلسات | 📐 ترتيب صاعد للمتوسطات: السعر > متوسط 50 > متوسط 100 يوم | ⚠️ هيمنة حجم أيام النزول على الصعود (نسبة 0.5x) - ضغط بيعي
85,4100,مكة,إدارة وتطوير العقارات,78.85,0.8,39.0,23.9,👀 متابعة,11.1,6.8,1.0,5.0,0.0,0.0,📦 تدفق نقدي إيجابي مستمر (CMF≈+0.07) يدل على تجميع | 💧 حجم أيام الصعود أعلى من النزول بنسبة 1.3x خلال 10 جلسات
86,3060,أسمنت ينبع,المواد الأساسية,15.37,3.4,59.2,23.5,⚠️ تصريف/توزيع,9.0,12.7,0.0,10.0,5.0,13.2,📈 مؤشر OBV في صعود مستمر خلال 20 جلسة مع تماسك سعري هادئ (تجميع بصمت) | 🔊 تسارع نشاط التداول: متوسط 5 أيام أعلى من متوسط 20 يوماً بـ2.2x | 👀 السهم يقترب من اختراق قمة 20 جلسة | 📐 السعر أعلى من المتوسط المتحرك 50 يوم | ⚠️ تحذير تصريف: تدفق نقدي سلبي (CMF≈-0.17) رغم ارتفاع السعر مؤخراً
87,4333,تعليم ريت,الصناديق العقارية المتداولة,10.45,2.9,49.4,23.3,📦 تجميع هادئ,20.4,0.3,0.0,5.0,0.0,2.4,📦 تدفق نقدي إيجابي مستمر (CMF≈+0.31) يدل على تجميع | 📈 مؤشر OBV في صعود مستمر خلال 20 جلسة مع تماسك سعري هادئ (تجميع بصمت) | ⚠️ هيمنة حجم أيام النزول على الصعود (نسبة 0.6x) - ضغط بيعي
88,4291,الوطنية للتعليم,الخدمات الاستهلاكية,140.6,-2.8,49.6,22.9,👀 متابعة,5.7,2.2,5.0,0.0,10.0,0.0,🕯️ شمعة انعكاسية صعودية (ذيل سفلي طويل + إغلاق قوي) خلال آخر 3 جلسات | 📐 ترتيب صاعد للمتوسطات: السعر > متوسط 50 > متوسط 100 يوم
89,7203,علم,التطبيقات وخدمات التقنية,607.0,0.0,42.2,22.8,👀 متابعة,14.1,3.3,0.4,5.0,0.0,0.0,📈 مؤشر OBV في صعود مستمر خلال 20 جلسة مع تماسك سعري هادئ (تجميع بصمت)
90,2120,متطورة,الخدمات المالية,16.63,1.7,53.8,22.4,👀 متابعة,14.8,3.6,0.0,0.0,5.0,0.9,📈 مؤشر OBV في صعود مستمر خلال 20 جلسة مع تماسك سعري هادئ (تجميع بصمت) | 📐 السعر أعلى من المتوسط المتحرك 50 يوم | ⚠️ هيمنة حجم أيام النزول على الصعود (نسبة 0.7x) - ضغط بيعي
91,1322,آماك,المواد الأساسية,83.2,1.5,52.1,22.0,👀 متابعة,12.7,1.5,5.0,0.0,5.0,2.3,📦 تدفق نقدي إيجابي مستمر (CMF≈+0.14) يدل على تجميع | 🕯️ شمعة انعكاسية صعودية (ذيل سفلي طويل + إغلاق قوي) خلال آخر 3 جلسات | 📐 السعر أعلى من المتوسط المتحرك 50 يوم | ⚠️ هيمنة حجم أيام النزول على الصعود (نسبة 0.6x) - ضغط بيعي
92,3010,أسمنت العربية,المواد الأساسية,21.69,-2.6,40.8,21.4,👀 متابعة,5.8,3.9,6.7,5.0,0.0,0.0,🕯️ شمعة انعكاسية صعودية (ذيل سفلي طويل + إغلاق قوي) خلال آخر 3 جلسات
93,2300,صناعة الورق,المواد الأساسية,63.95,-1.1,49.4,21.4,⚠️ تصريف/توزيع,4.4,12.0,5.0,5.0,10.0,15.0,📈 مؤشر OBV في صعود مستمر خلال 20 جلسة مع تماسك سعري هادئ (تجميع بصمت) | 💧 حجم أيام الصعود أعلى من النزول بنسبة 2.0x خلال 10 جلسات | 🕯️ شمعة انعكاسية صعودية (ذيل سفلي طويل + إغلاق قوي) خلال آخر 3 جلسات | 📐 ترتيب صاعد للمتوسطات: السعر > متوسط 50 > متوسط 100 يوم | ⚠️ تحذير تصريف: تدفق نقدي سلبي (CMF≈-0.20) رغم ارتفاع السعر مؤخراً
94,2287,إنتاج,إنتاج الأغذية,22.91,-0.2,40.2,20.7,👀 متابعة,13.9,0.0,5.8,5.0,0.0,3.9,📈 مؤشر OBV في صعود مستمر خلال 20 جلسة مع تماسك سعري هادئ (تجميع بصمت) | 🕯️ شمعة انعكاسية صعودية (ذيل سفلي طويل + إغلاق قوي) خلال آخر 3 جلسات | ⚠️ هيمنة حجم أيام النزول على الصعود (نسبة 0.5x) - ضغط بيعي
95,6040,تبوك الزراعية,إنتاج الأغذية,8.93,7.6,51.6,19.9,👀 متابعة,5.1,4.8,0.0,0.0,10.0,0.0,📈 مؤشر OBV في صعود مستمر خلال 20 جلسة | 📐 ترتيب صاعد للمتوسطات: السعر > متوسط 50 > متوسط 100 يوم
96,4081,النايفات,الخدمات المالية,10.05,-0.7,54.6,19.8,👀 متابعة,6.0,8.9,0.0,0.0,5.0,0.2,🔊 تسارع نشاط التداول: متوسط 5 أيام أعلى من متوسط 20 يوماً بـ1.8x | 📐 السعر أعلى من المتوسط المتحرك 50 يوم | ⚠️ هيمنة حجم أيام النزول على الصعود (نسبة 0.7x) - ضغط بيعي
97,2170,اللجين,المواد الأساسية,27.86,-0.6,55.9,19.3,👀 متابعة,2.4,0.3,5.0,10.0,5.0,3.3,🕯️ شمعة انعكاسية صعودية (ذيل سفلي طويل + إغلاق قوي) خلال آخر 3 جلسات | 📊 تقاطع MACD صعودي حديث (زخم إيجابي متجدد) | 📐 السعر أعلى من المتوسط المتحرك 50 يوم | ⚠️ هيمنة حجم أيام النزول على الصعود (نسبة 0.6x) - ضغط بيعي
98,2280,المراعي,إنتاج الأغذية,46.96,-2.8,41.3,18.9,👀 متابعة,10.4,2.9,5.6,0.0,0.0,0.0,📦 تدفق نقدي إيجابي مستمر (CMF≈+0.10) يدل على تجميع | 🕯️ شمعة انعكاسية صعودية (ذيل سفلي طويل + إغلاق قوي) خلال آخر 3 جلسات
99,6018,الأندية للرياضة,الخدمات الاستهلاكية,8.45,4.8,63.5,18.9,👀 متابعة,5.1,0.4,5.0,0.0,10.0,1.6,🕯️ شمعة انعكاسية صعودية (ذيل سفلي طويل + إغلاق قوي) خلال آخر 3 جلسات | 📐 ترتيب صاعد للمتوسطات: السعر > متوسط 50 > متوسط 100 يوم | ⚠️ هيمنة حجم أيام النزول على الصعود (نسبة 0.6x) - ضغط بيعي
100,4160,ثمار,تجزئة وتوزيع السلع الاستهلاكية,35.6,5.3,52.4,18.9,⚠️ تصريف/توزيع,1.3,12.4,0.0,5.0,10.0,9.8,💧 حجم أيام الصعود أعلى من النزول بنسبة 2.6x خلال 10 جلسات | 📐 ترتيب صاعد للمتوسطات: السعر > متوسط 50 > متوسط 100 يوم | ⚠️ تحذير تصريف: تدفق نقدي سلبي (CMF≈-0.12) رغم ارتفاع السعر مؤخراً
101,6004,كاتريون,الخدمات التجارية والمهنية,70.3,-1.5,41.8,18.3,📦 تجميع هادئ,21.2,0.0,1.3,0.0,0.0,4.2,📦 تدفق نقدي إيجابي مستمر (CMF≈+0.20) يدل على تجميع | 📈 مؤشر OBV في صعود مستمر خلال 20 جلسة مع تماسك سعري هادئ (تجميع بصمت) | ⚠️ هيمنة حجم أيام النزول على الصعود (نسبة 0.5x) - ضغط بيعي
102,4163,الدواء,تجزئة وتوزيع السلع الاستهلاكية,38.4,1.1,37.5,18.1,👀 متابعة,4.4,1.0,8.0,5.0,0.0,0.4,🔄 ارتداد من تشبع بيع: RSI عند 37 ويتجه للصعود | 🕯️ شمعة انعكاسية صعودية (ذيل سفلي طويل + إغلاق قوي) خلال آخر 3 جلسات | ⚠️ هيمنة حجم أيام النزول على الصعود (نسبة 0.7x) - ضغط بيعي
103,4347,بنيان ريت,الصناديق العقارية المتداولة,9.83,0.5,46.0,17.8,👀 متابعة,4.4,3.6,5.0,10.0,0.0,5.2,🔊 تسارع نشاط التداول: متوسط 5 أيام أعلى من متوسط 20 يوماً بـ1.3x | 🕯️ شمعة انعكاسية صعودية (ذيل سفلي طويل + إغلاق قوي) خلال آخر 3 جلسات | 👀 السهم يقترب من اختراق قمة 20 جلسة | ⚠️ هيمنة حجم أيام النزول على الصعود (نسبة 0.5x) - ضغط بيعي
104,4344,سدكو كابيتال ريت,الصناديق العقارية المتداولة,7.3,-0.9,41.7,17.3,👀 متابعة,5.0,11.1,1.3,5.0,0.0,5.2,💧 حجم أيام الصعود أعلى من النزول بنسبة 1.6x خلال 10 جلسات | ⚠️ تحذير تصريف: تدفق نقدي سلبي (CMF≈-0.05) رغم ارتفاع السعر مؤخراً
105,4007,الحمادي,الرعاية الصحية,24.28,-6.3,29.5,17.1,👀 متابعة,12.3,2.3,2.5,0.0,0.0,0.0,📈 مؤشر OBV في صعود مستمر خلال 20 جلسة | ⏳ تشبع بيع واضح: RSI عند 30 (بانتظار تأكيد الارتداد)
106,4013,سليمان الحبيب,الرعاية الصحية,232.1,-0.2,48.8,17.0,👀 متابعة,4.5,2.5,0.0,0.0,10.0,0.0,📐 ترتيب صاعد للمتوسطات: السعر > متوسط 50 > متوسط 100 يوم
107,6070,الجوف,إنتاج الأغذية,40.12,0.6,49.4,17.0,⚠️ تصريف/توزيع,15.0,12.0,0.0,5.0,0.0,15.0,📈 مؤشر OBV في صعود مستمر خلال 20 جلسة مع تماسك سعري هادئ (تجميع بصمت) | 💧 حجم أيام الصعود أعلى من النزول بنسبة 2.2x خلال 10 جلسات | ⚠️ تحذير تصريف: تدفق نقدي سلبي (CMF≈-0.31) رغم ارتفاع السعر مؤخراً
108,6010,نادك,إنتاج الأغذية,14.97,4.0,52.2,16.7,⚠️ تصريف/توزيع,4.3,9.9,0.0,5.0,5.0,7.5,💧 حجم أيام الصعود أعلى من النزول بنسبة 1.4x خلال 10 جلسات | 📐 السعر أعلى من المتوسط المتحرك 50 يوم | ⚠️ تحذير تصريف: تدفق نقدي سلبي (CMF≈-0.09) رغم ارتفاع السعر مؤخراً
109,3020,أسمنت اليمامة,المواد الأساسية,23.18,-0.1,41.4,16.6,👀 متابعة,8.9,1.3,5.6,5.0,0.0,4.2,📦 تدفق نقدي إيجابي مستمر (CMF≈+0.08) يدل على تجميع | 🕯️ شمعة انعكاسية صعودية (ذيل سفلي طويل + إغلاق قوي) خلال آخر 3 جلسات | ⚠️ هيمنة حجم أيام النزول على الصعود (نسبة 0.5x) - ضغط بيعي
110,4345,الإنماء ريت للتجزئة,الصناديق العقارية المتداولة,4.58,-3.0,34.6,16.5,👀 متابعة,3.9,5.9,1.7,5.0,0.0,0.0,📈 مؤشر OBV في صعود مستمر خلال 20 جلسة مع تماسك سعري هادئ (تجميع بصمت)
111,4262,لومي,النقل,27.24,1.0,34.1,16.4,👀 متابعة,6.2,3.5,1.8,5.0,0.0,0.0,📈 مؤشر OBV في صعود مستمر خلال 20 جلسة مع تماسك سعري هادئ (تجميع بصمت)
112,4061,أنعام القابضة,تجزئة وتوزيع السلع الاستهلاكية,12.47,4.8,64.5,16.4,⚠️ تصريف/توزيع,8.2,4.7,0.0,5.0,10.0,11.6,📈 مؤشر OBV في صعود مستمر خلال 20 جلسة | 📐 ترتيب صاعد للمتوسطات: السعر > متوسط 50 > متوسط 100 يوم | ⚠️ تحذير تصريف: تدفق نقدي سلبي (CMF≈-0.15) رغم ارتفاع السعر مؤخراً
113,7200,ام آي اس,التطبيقات وخدمات التقنية,307.8,4.6,59.6,16.2,👀 متابعة,9.4,0.0,0.0,0.0,10.0,3.2,📦 تدفق نقدي إيجابي مستمر (CMF≈+0.09) يدل على تجميع | 📐 ترتيب صاعد للمتوسطات: السعر > متوسط 50 > متوسط 100 يوم | ⚠️ هيمنة حجم أيام النزول على الصعود (نسبة 0.6x) - ضغط بيعي
114,4240,سينومي ريتيل,تجزئة السلع الكمالية,17.41,44.5,67.4,15.9,👀 متابعة,9.8,1.1,0.0,0.0,5.0,0.0,📈 مؤشر OBV في صعود مستمر خلال 20 جلسة | 📐 السعر أعلى من المتوسط المتحرك 50 يوم
115,4350,الإستثمار ريت,الصناديق العقارية المتداولة,6.81,-0.1,43.0,15.8,👀 متابعة,2.8,2.7,5.3,5.0,0.0,0.0,🕯️ شمعة انعكاسية صعودية (ذيل سفلي طويل + إغلاق قوي) خلال آخر 3 جلسات
116,6012,ريدان,الخدمات الاستهلاكية,15.78,9.8,45.6,15.0,⚠️ تصريف/توزيع,15.0,0.0,0.0,0.0,10.0,10.0,📈 مؤشر OBV في صعود مستمر خلال 20 جلسة | 📐 ترتيب صاعد للمتوسطات: السعر > متوسط 50 > متوسط 100 يوم | ⚠️ هيمنة حجم أيام النزول على الصعود (نسبة 0.2x) - ضغط بيعي
117,6013,التطويرية الغذائية,الخدمات الاستهلاكية,92.25,2.3,53.3,14.8,👀 متابعة,1.3,3.5,5.0,5.0,0.0,0.0,🕯️ شمعة انعكاسية صعودية (ذيل سفلي طويل + إغلاق قوي) خلال آخر 3 جلسات
